contract_id,label,text
1,Confidentiality,"18. Confidentiality
Except as otherwise provided in this Agreement or with the consent of the other party hereto, each of the parties hereto agrees that all information
including, without limitation, the terms of this Agreement, business and financial information, customer and vendor lists, and pricing and sales
information, concerning Chase, Customer or Affiliate shall remain strictly confidential and secret and shall not be utilized, directly or indirectly, by
such party for its own business purposes or for any other purpose except and solely to the extent necessary to exercise rights and perform
obligations under this Agreement. The foregoing restrictions will not apply to information to the extent it (i) was known to the receiving party at the
time of disclosure; (ii) has become publicly known through no wrongful act of the receiving party; (iii) has been rightfully received from a third
party under no obligation to the disclosing party; (iv) has been disclosed by court order or as otherwise required by law if the receiving party has
given the disclosing party a reasonable opportunity to contest or limit the scope of such required disclosure."
1,Modification,"19. Modification
Chase reserves the right to change any and all of the terms and conditions in this Agreement, at any time and in its sole discretion, by posting a
new agreement on its Website. Without limiting the generality of the foregoing, the amount of Commissions, the definition of Approved Accounts,
and all other provisions of this Agreement are subject to change without notice other than posting such information on the Chase Website. IF ANY
MODIFICATION IS UNACCEPTABLE TO AFFILIATE, THE ONLY RECOURSE IS TO TERMINATE THIS AGREEMENT. AFFILIATE’S
CONTINUED PARTICIPATION IN THE AFFILIATE PROGRAM FOLLOWING CHASE’S POSTING OF A NEW AGREEMENT ON ITS WEB SITE
WILL CONSTITUTE BINDING ACCEPTANCE OF THE CHANGE."
1,Warranty Disclaimer,"20. Warranty Disclaimer
Chase makes no warranties, representations or conditions with regard to the Chase Affiliate Program or any services provided hereunder, whether
express or implied, arising by law or otherwise, INCLUDING, WITHOUT LIMITATION, ANY IMPLIED WARRANTY OF MERCHANTABILITY OR
FITNESS FOR A PARTICULAR PURPOSE OR NONINFRINGEMENT OR ANY IMPLIED WARRANTY ARISING OUT OF COURSE OF
PERFORMANCE, COURSE OF DEALING OR USAGE OF TRADE.
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007"
1,Limitation of Damages,"21. Limitation of Damages
Chase shall have no liability for any indirect, incidental, special or consequential damages or any loss of revenue or profits arising under or with
respect to this Agreement or the Affiliate Program, regardless of whether Chase has been advised of the possibility of such damages. Further,
Chase’s aggregate liability arising under or with respect to this Agreement or the Affiliate Program shall in no event exceed the total Commissions
paid or payable by Chase to Affiliate under this
Agreement."
1,Independent Investigation,"22. Independent Investigation
AFFILIATE ACKNOWLEDGES THAT IT HAS READ THIS AGREEMENT, HAS HAD AN OPPORTUNITY TO CONSULT WITH ITS OWN LEGAL
ADVISERS IF IT SO DESIRED, AND AGREES TO ALL ITS TERMS AND CONDITIONS. AFFILIATE AGREES THAT, IN INTERPRETING THIS
AGREEMENT, NO WEIGHT SHALL BE PLACED UPON THE FACT THAT THIS AGREEMENT HAS BEEN DRAFTED BY CHASE, AND IT SHALL
NOT ASSERT THAT THIS AGREEMENT IS UNENFORCEABLE OR INVALID ON THE GROUNDS THAT IT IS A CONTRACT OF ADHESION,
THAT IT IS UNCONSCIONABLE, OR ANY SIMILAR THEORY. AFFILIATE UNDERSTANDS THAT CHASE MAY AT ANY TIME (DIRECTLY OR
INDIRECTLY) SOLICIT CUSTOMER REFERRALS ON TERMS THAT MAY DIFFER FROM THOSE CONTAINED IN THIS AGREEMENT."
1,Governing Law,"23. Governing Law
This Agreement will be governed in all respects by the laws of the State of Delaware, including its conflict with law provisions.
Accept.
Appendix
List of Restricted Trademark Terms
Partner Restricted Trademark Terms
Chase Brand Add Chase as a negative Keyword to your Search strategy.
In addition, the following terms are prohibited: Chase, Chase bank, www.chase.com, www.creditcardsatchase.com, www.chasecreditcard.com,
chase.com, creditcardsatchase.com, chasecreditcard.com,
chase credit card, chase credit cards, Chase Freedom, Freedom Card
AARP AARP.org, AARP.com, AARP membership, AARPmagazine.com, AARPhealthcare.com, AARP foundation, AARP passport,
www.travelocity.com/AARP, AARP Bulletin, American Association of Retired Persons, AARP Insurance, AARP partner, AARP providers, AARP
advocacy, Segunda Juventud, AARP Hot Deals
Amazon Amazon, Amazon.com, www.amazon.com, Amazon Books, Amazon DVD, Amazon Movies, Amazon Music
Borders Borders, Borders Stores, Borders Books, www.borders.com, www.bordersbooks.com
Waldenbooks, Waldenbooks Stores, www.waldenbooks.com, www.waldenbooksstores.com
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
British Air British Airways, British Air, www.britishairways.com, www.ba.com, ba,
Continental See Continental Tab
Disney See “Disney” Tab
Hess Hess, www.hess.com, Amerada
Holiday Inn/Priority Club Holiday Inn, Holiday Inn Express, Priority Club, IHG, www.ichotelsgroup.com, InterContinental, InterContinental Hotels
Group, Crowne Plaza, Hotel Indigo, Staybridge Suites, Candlewood Suites,
Marathon Marathon, Marathon Oil, Marathon Petroleum Company, Speedway, Speedway SuperAmerica, SuperAmerica
Marriott www.marriottrewards.com, www.marriott.com, Marriott, Marriott Rewards
Overstock overstock.com, www.overstock.com, overstocked.com, overstock/com, overstock com, overstock com, overstockcom, overstock .com,
overstock?com, overstock>com, overstock, overstocked.com, overstocks.com,
over stock.com, overstock .com, overstockcom
Sony Sony, www.sonystyle.com, ImageStation, My Sony, Vaio, EverQuest
Speedway Speedway SuperAmerica, Speedway, SuperAmerica, Speedy Rewards, Marathon, Marathon Oil, Marathon Petroleum Company
Starbucks Starbucks, Starbucks Coffee, Starbucks Foundation, Starbucks Coffee Company, Starbucks Corporation
Subaru Subaru, My Subaru, Subaru World, Subaru of America
Toys www.toysrus.com, Toysrus.com, Toys “R” Us, Toys “R” Us International, Kids”R”Us, Babies”R”Us, Babiesrus.com, Toyologist,
Toysrus/Amazon, Babiesrus/Amazon, www.personalizedbyrus.com
Trump Trump, www.trump.com, The Apprentice, Trumped, Trump University, Trump Taj Mahal, Trump Plaza, Trump Marina, Trump Indiana, Trump
Club Privee, Trump National Golf Club, Trump Tower, Trump Park Avenue, Trump World Tower, Trump International Hotel & Tower, Trump Place,
Trump Palace, Trump Parc & Trump Parc East, Trump Grande, Mar-a-Lago
United See “United” Tab
Universal Universal, Universal Studios, Universal Movies, Unviersal Entertainment, Universal Hollywood, www.universal.com, Universal movie
tickets, universal movie ticket, universal theme parks, universal discount, universal discounts, universal ticket, universal tickets, universal vacation,
universal vacations, universal travel, universal deals, universal offer, universal offers, universal park, universal parks, universal getaway, universal
getaways, universal family getaway, universal family getaways, universal deal, universal deals
Volkswagen Volkswagen, Volkswagen International, Volkswagen Group, Volkswagen AG, Audi
Disney Restricted Key Words
cheap disney vacation disney world vacations
cheap disney vacations disneyland bargain
child vacation disneyland bargains
childrens vacations disneyland cheap
discount disney travel disneyland discount
discount disney vacation disneyland discounts
discount disney vacations disneyland offer
discount vacation disneyland offers
discount vacations disneyland promotion
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
disney disneyland promotions
disney bargain disneyland save
disney bargains disneyland save
disney cheap disneyland savings
disney cruise disneyland savings
disney cruise vacations disneyland travel
disney deal disneyland trip
disney discount disneyland trips
disney family vacation disneyland vacation
disney family vacations disneyland vacations
disney florida vacation disneyworld bargain
disney florida vacations disneyworld bargains
disney golf vacations disneyworld cheap
disney honeymoon disneyworld offer
disney honeymoon vacation disneyworld offers
disney honeymoons disneyworld promotions
disney offer disneyworld save
disney offers disneyworld savings
disney package disneyworld vacation
disney package vacations disneyworld vacations
disney promotion family vacation
disney promotions family vacations
disney resort kid vacation
disney resort vacation kids vacations
disney resort vacations magic kingdom
disney resorts orlando disney vacations
disney savings orlando rentals
disney travel orlando vacations
disney travel package special disney travel
disney vacation special vacation packages
disney vacation club walt disney bargain
disney vacations walt disney bargains
disney vacations florida walt disney cheap
disney vacations orlando walt disney deal
disney world bargain walt disney deals
disney world bargains walt disney offer
disney world cheap walt disney offers
disney world discount walt disney resort vacations
disney world offer walt disney save
disney world offers walt disney savings
disney world package walt disney vacation
disney world save walt disney vacations
disney world savings walt disney world vacation
disney world vacation walt disney world vacations
United Restricted Key Words
united airlines united air fare
united united airlines reservations online
united air united airline fare
united.com United Escapes
united airline international united flights
www.united.com untied air
united flight united first class
unitedairlines.com United Vacation
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
UAL united travel
united airlines.com united star alliance
ual.com united airlines specials
united air lines united discounts
www.unitedairlines.com united trip
united airlines schedule travel with united
united airline travel united airlines discounts
united reservation united airlines official website
www.ual.com united business class
united express united airlines airports
united reservations united airlines star alliance
www.united airlines.com united non-stop flights
united fares united packages
united airline flight international united travel
united and airlines united airlines economy plus
United Vacations united airports
united airlines tickets united group travel
united airlines flights United Escape
united express airlines easy update
united flights united air vacations
unitedair united fare sale
United airfare united last minute fares
www.united airlines united efares
untied airlines united getaways
www.unitedairlines united low fares
united airline.com united airlines bookings
united air line cities united flies
united airlines travel fly on united
united airlines homepage united airlines group travel
united airlines website united airlines travel certificates
united destinations United Easy Update
united airline flights united airlines business travel
united airlines home page united special deals
United airfares united business travel
e-fares untiedair
united airlines site united economy class
united airlines fares united package deals
www.unitedairline.com international united ticket
united airlines home international united tickets
united airlines vacations shop for united flights
vacation travel United EasyUpdate
united specials fly with united
www.united airline.com united e fares
unitied airlines united travel certificates
united deals united air star alliance
international united flight united fare search
united airlines online United Escapes
united e-fares international united flight
united airlines cities united airlines online
united air fare united e-fares
united airlines reservations online united airlines cities
united airline fare
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007
Continental Restricted Key Words
Continental airlines Continental air fare
Continental Continental airlines reservations online
continental.com Continental airline fare
continental airline international Continental flights
www.continental.com Continental air
continental flight Continental first class
continental air lines Continental Vacation
continental airlines schedule Continental travel
continental airline travel Continental airlines specials
continental reservation Continental discounts
continental reservations Continental trip
continental fares travel with Continental
continental airline flight Continental airlines discounts
continental and airlines Continental airlines official website
Continental Vacations Continental business class
continental airlines tickets Continental airlines airports
continental airlines flights Continental non stop flights
continental flights
continental airlines Continental packages
continental air line International Continental travel
continental airlines travel Continental airports
continental airlines homepage Continental group travel
continental airlines website Continental air vacations
continental destinations Continental fare sale
continental airlines vacations Continental last minute fares
continental air fare Continental getaways
continental airlines reservations online Continental low fares
continental airline fare Continental airlines bookings
international continental flight cities Continental flies
continental airlines online fly on Continental
continental airlines cities Continental airlines group travel
Continental economy class Continental airlines travel certificates
Continental package deals Continental airlines business travel
international Continental ticket Continental special deals
international Continental tickets Continental business travel
shop for Continental flights fly with Continental
Source: CREDITCARDS.COM, INC., S-1, 8/10/2007"
2,Effective Date and Term.,"1. Effective Date and Term.
This agreement shall begin upon the date of its execution by MA and acceptance in writing by
Company and shall remain in effect until the end of the current calendar year and shall be automatically
renewed for successive one (1) year periods unless otherwise terminated according to the cancellation
or termination provisions contained in paragraph 18 of this Agreement. Company and MA
acknowledge that this Agreement is not a franchise as that term is defined under any and all applicable
local, state and/or federal laws in U.S., as amended."
2,Grant of Rights.,"2. Grant of Rights.
2.1General Rights. Subject to the terms and conditions of this Agreement, Company hereby
grants to MA the right to advertise, market and sell to corporate users, government
agencies and educational facilities (“Clients”) for their own internal language learning, soft
skills and communication purposes only, and not for remarketing or redistribution, and not
for use in a data center environment for multiple users Clients, unless otherwise agreed to by
Company prior in writing, the Technology listed in Schedule A of this Agreement, and to sell
and/or bundle Technology Maintenance for the Technology and to provide first line
technical support and implementation services for the Technology in the territories listed in
Schedule A of this Agreement, providing MA meets the criteria required for delivering
services according to Schedule A.
2.2Third Party Rights. Company and MA acknowledge that Company derives certain rights
herein from third parties and that Company reserves the right to modify or amend this
Agreement if mandated by such third parties.
2
Source: CYBERGY HOLDINGS, INC., 10-Q, 5/20/2014"
2,Duties of MA.,"3. Duties of MA.
3.1Best Efforts. MA agrees to use its best efforts to market and license the Technology to
Clients consistent with the terms of this Agreement.
3.2License Agreement. MA shall execute a Company License Agreement/Client
Registration Form with Clients and present that License Agreement/Client Registration
Form to Company after each purchase of the Technology.
Upon the execution of this Agreement, Company shall provide copies of its end user license
agreements to MA. MA shall promptly review such agreements and advise Company as to what
revisions, if any, should be made to the end user license agreements for resale in the Territory set forth in
Schedule A to ensure that the agreements comply with requirements of local law in the Territory, and
that Company has protection concerning proprietary rights, warranty disclaimers and limitations of
liability under such local and federal laws of the U.S.
For purposes of this Agreement, the Technology means the electronic access to programs,
content and documentation, and Company's end user license agreement as it may be modified by
Company for use in the Territory. The relationship between the corporate user and Company and/or its
Affiliates shall be as specified in the applicable Company end user license agreement. Notwithstanding
the foregoing, as between Company and MA, MA shall be responsible as defined for providing
customer and technical support to end users in the Territory. MA will notify Company immediately in
the event that it is unable to respond effectively to any end users’ requests.
3.3Copyrights and Trademarks. MA shall protect copyrights, tradenames, trademarks,
service marks, trade secrets and other confidential proprietary rights and information of
Company and its affiliates and report promptly any infringements or suspected
infringements of which MA becomes aware and to cooperate fully with Company in its
efforts to protect its copyrights, tradenames, trademarks, service marks, trade secrets
and other confidential proprietary rights and information.
3.4No Alternations. MA agrees not to remove or alter in any manner any copyright,
trademark or other proprietary notices contained in the Technology.
3.5Permits, Licenses and Compliance with Laws. MA shall be responsible and shall bear
all costs for complying with local, state, provincial, federal, national, and international
statutes, rules, regulations and ordinances of any kind which related to or affect MA’s
duties under this Agreement.
3.6Product Support. MA agrees, when specified, to provide Clients with the support
necessary to meet the reasonable needs and requirements for installation and operation
of the Technology.
3
Source: CYBERGY HOLDINGS, INC., 10-Q, 5/20/2014
3.7Sales Records. MA shall keep accurate records of the sales of the Technology and
Maintenance, including Client Registration Cards and shall make these records available
for review by a representative of Company within ten (10) business days following the
end of each month.
3.8Sales and Technical Training. MA shall attend initial marketing, application, and
technical training as required and provided by Company; provided, however, that
Company shall not require MA to market or support Technology according to a
marketing plan or system prescribed in substantial part by Company. The MA will
however, be responsible to display and explain in detail the methods by which they plan
to achieve the assigned quotas.
3.9Sales Reports. MA shall report periodically in writing, upon request to Company the
status of the following:
(a) Leads provided by Company
(b) Marketing activities in progress
(c) Sales forecasts
(d) Implementations in progress
MA shall appoint one of its employees to be responsible for such reporting and make the name of such
employee available to Company.
3.10 Marketing Plan. MA shall submit an annual marketing plan to Company
outlining, among other things, activities and staffing directed at attaining mutually agreed
upon annual sales quotas. The Annual Quota is defined in Schedule A of this
Agreement. The annual marketing plan shall be devised solely by MA and MA shall not
be required to follow an operating plan, standard procedure, training manual, or its
substantial equivalent, published by Company.
3.11 Business Practices. Company shall not specify the business practices of MA,
nor regulate the manner in which MA shall operate its business, provided that MA (a)
conducts business in a manner that reflects favorably at all times on the Technology sold
and the good name, goodwill and reputation of Company and its affiliates; (b) avoid
deceptive, misleading or unethical practices that are or might be detrimental to
Company and/or its Affiliates, the Technology or the public, including but not limited to
disparagement of Company or the Technology; (c) make no false or misleading
representation with respect to Company or the Technology; and (d) make no
representations with respect to Company or the Technology that are inconsistent with
any applicable license agreement(s) for the Technology provided by Company,
promotional materials and other literature distributed by Company pertaining specifically
to the Technology, including all liability limitations and disclaimers contained in such
materials.
3.12 Support and Service Centers. MA may be required to establish and maintain
Support Services in the Territory set forth in Schedule A to provide marketing, sales
and service support of the Technology licensed from Company.
4
Source: CYBERGY HOLDINGS, INC., 10-Q, 5/20/2014"
2,Duties of Company.,"4. Duties of Company.
4.1Commitment. So long as MA is not in default hereunder, Company agrees to provide
Technology to MA in accordance with the terms and conditions of this Agreement.
4.2Deliverables. Upon the request of MA, Company shall at prices or fees then in effect or
mutually agreed upon by the parties:
(a) Provide Technology to MA at the discounted prices shown in Schedule
A, subject to Company’s right to change its prices or fees pursuant to
paragraph 13 of this Agreement.
(b) Make available a reasonable marketing information, demonstrations and
other sales/marketing aids available from Company relating to the
Technology to MA shown in Schedule A.
(c) Make available marketing training and support to MA relating to the
Technology in Schedule A.
(d) Make available technical training and support to MA relating to the
Technology in Schedule A.
(e) Make available updates of the Technology to MA as they may become
available for distribution.
4.3No Control. Company shall not require that MA be limited as to the type, quantity or
quality of any product or service that MA sells or desires to sell.
4.4No Resale Limitations. Unless otherwise stated in this Agreement, Company shall not
require that MA be limited to the persons or accounts to which it may market, distribute
or sublicense any product or service that MA sells or desires to sell, including without
limitation, the Technology, within the Territory as defined in Schedule A of this
Agreement.
4.5No Procedures. Company shall not require procedures for which MA may deal with
Clients however will require reasonable levels of satisfaction from the clients related to
the services provided by the MA."
2,Annual Quota.,"5. Annual Quota.
The Annual Quota for MA shall be defined in Schedule A of this Agreement. Company
reserves the right to adjust or modify the Annual Quota upon renewal of this Agreement or from time to
time by mutual agreement of the parties.
5
Source: CYBERGY HOLDINGS, INC., 10-Q, 5/20/2014"
2,Territory.,"6. Territory.
The Territory for MA shall be defined in Schedule A of this Agreement. Company reserves the
right to adjust or modify the Territory upon renewal of this Agreement or from time to time by mutual
agreement of the parties."
